EmployeeID,ManagerID,Title,BirthDate,ContactID,Employee_Names
38,21,Production Supervisor ,3/9/1979,1065,Jinghao K Liu
39,182,Production Technician ,12/19/1974,1108,Michael T Hines
40,159,Production Technician ,5/17/1979,1167,Yvonne S McKay
41,200,Quality Assurance Supervisor,4/19/1966,1269,Peng J Wu
42,109,Information Services Manager,1/13/1966,1253,Jean E Trenary
43,74,Production Technician ,12/27/1962,1194,Russell  Hunter
44,148,Master Scheduler,10/19/1958,1232,A. Scott  Wright
45,210,Production Technician ,7/27/1979,1135,Fred T Northup
46,6,Marketing Specialist,6/21/1977,1033,Sariya E Harnpadoungsataya
47,30,Recruiter,8/18/1968,1237,Willis T Johnson
48,38,Production Technician ,8/6/1969,1178,Jun T Cao
49,218,Maintenance Supervisor,2/18/1966,1280,Christian E Kleinerman
50,184,Production Technician ,5/3/1973,1119,Susan A Metters
51,21,Production Supervisor ,9/27/1977,1060,Reuben H D'sa
52,123,Production Technician ,3/10/1975,1162,Kirk J Koenigsbauer
53,18,Production Technician ,1/30/1975,1221,David J Ortiz
54,90,Control Specialist,5/29/1980,1264,Tengiz N Kharatishvili
55,143,Production Technician ,11/16/1964,1103,Hanying P Feng
56,210,Production Technician ,1/26/1976,1146,Kevin H Liu
57,16,Production Technician ,1/27/1967,1205,Annik O Stahl
58,38,Production Technician ,3/28/1968,1181,Suroor R Fatima
59,139,Accounts Receivable Specialist,4/7/1966,1248,Deborah E Poe
60,74,Production Technician ,10/9/1976,1189,Jim H Scardelis
61,173,Production Technician ,11/19/1973,1130,Carole M Poland
62,184,Production Technician ,5/18/1967,1114,George Z Li
63,87,Production Technician ,6/17/1978,1157,Gary W Yukish
64,21,Production Supervisor ,5/13/1974,1055,Cristian K Petculescu
65,143,Production Technician ,4/2/1957,1098,Raymond K Sam
66,42,Application Specialist,3/3/1975,1259,Janaina Barreiro Gambaro Bueno
67,14,Production Technician ,9/16/1969,1200,Bob N Hohman
68,210,Production Technician ,11/5/1970,1141,Shammi G Mohamed
69,38,Production Technician ,8/17/1977,1184,Linda K Moschell
70,30,Benefits Specialist,12/22/1974,1239,Mindy C Martin
71,140,Finance Manager,11/12/1974,1243,Wendy Beth Kahn
72,85,Stocker,6/1/1974,1286,Kim T Ralls
73,135,Production Technician ,12/6/1965,1125,Sandra  Reátegui Alayo
74,21,Production Supervisor ,5/30/1970,1066,Kok-Ho T Loh
75,159,Production Technician ,12/26/1975,1168,Douglas B Hite
76,7,Production Technician ,8/26/1974,1227,James D Kramer
77,41,Quality Assurance Technician,4/7/1966,1270,Sean P Alexander
78,182,Production Technician ,1/1/1977,1109,Nitin S Mirchandani
79,158,Research and Development Engineer,7/6/1976,1050,Diane L Margheim
80,16,Production Technician ,8/11/1967,1211,Rebecca A Laszlo
81,210,Production Technician ,11/5/1967,1136,Rajesh M Patel
82,30,Recruiter,9/2/1974,1238,Vidur X Luthra
83,38,Production Technician ,7/1/1968,1179,John P Evans
84,7,Production Technician ,12/21/1978,1222,Nancy A Anderson
85,21,Shipping and Receiving Supervisor,10/11/1962,1281,Pilar G Ackerman
86,184,Production Technician ,9/4/1971,1120,David A Yalovsky
87,21,Production Supervisor ,8/2/1973,1061,David P Hamilton
88,123,Production Technician ,1/26/1971,1163,Laura C Steele
89,16,Production Technician ,6/20/1976,1206,Margie W Shoop
90,200,Document Control Manager,3/2/1966,1265,Zainal T Arifin
91,210,Production Technician ,12/28/1978,1137,Lorraine O Nay
92,143,Production Technician ,3/19/1979,1104,Fadi K Fakhouri
93,51,Production Technician ,7/15/1962,1147,Ryan L Cornelsen
94,139,Accounts Receivable Specialist,3/26/1966,1249,Candy L Spoon
95,74,Production Technician ,4/29/1969,1190,Nuan  Yu
96,44,Scheduling Assistant,12/8/1971,1233,William S Vong
97,173,Production Technician ,12/8/1979,1131,Bjorn M Rettig
98,197,Production Technician ,3/13/1977,1174,Scott R Gode
99,87,Production Technician ,2/4/1981,1158,Michael L Rothkugel
100,143,Production Technician ,10/24/1964,1099,Lane M Sacksteder
101,14,Production Technician ,3/7/1967,1201,Pete C Male
102,42,Application Specialist,7/28/1971,1260,Dan K Bacon
103,140,Assistant to the Chief Financial Officer,7/23/1954,1244,David M Barber
104,74,Production Technician ,2/25/1963,1195,Lolan B Song
105,210,Production Technician ,3/13/1977,1142,Paula R Nartker
106,6,Marketing Specialist,10/14/1952,1034,Mary E Gibson
107,38,Production Technician ,6/7/1968,1185,Mindaugas J Krapauskas
108,21,Production Supervisor ,2/20/1975,1228,Eric  Gubbels
109,1,Chief Executive Officer,3/2/1959,1287,Ken J Sánchez
110,135,Production Technician ,1/8/1979,1126,Jason M Watters
111,41,Quality Assurance Technician,5/31/1976,1271,Mark L Harrington
112,159,Production Technician ,8/25/1962,1169,Janeth M Esteves
113,184,Production Technician ,11/24/1976,1110,Marc J Ingle
114,158,Research and Development Engineer,2/21/1969,1051,Gigi N Matthew
115,108,Production Technician ,12/5/1980,1094,Paul R Singh
116,210,Production Technician ,10/7/1977,1144,Frank T Lee
117,42,Database Administrator,6/17/1965,1255,François P Ajenstat
118,14,Production Technician ,9/10/1979,1196,Diane H Tibbott
119,6,Marketing Specialist,7/19/1969,1035,Jill A Williams
120,38,Production Technician ,7/1/1981,1180,Angela W Barbariol
121,85,Shipping and Receiving Clerk,12/13/1963,1282,Matthias T Berndt
122,7,Production Technician ,9/28/1963,1223,Bryan  Baker
123,21,Production Supervisor ,2/16/1967,1062,Jeff V Hay
124,184,Production Technician ,8/15/1977,1121,Eugene R Zabokritski
125,182,Production Technician ,8/2/1969,1105,Barbara S Decker
126,123,Production Technician ,1/17/1979,1164,Chris T Preston
127,90,Document Control Assistant,4/12/1977,1266,Sean N Chai
128,42,Database Administrator,2/6/1966,1254,Dan B Wilson
129,16,Production Technician ,10/26/1969,1207,Mark K McArthur
130,139,Accounts Receivable Specialist,10/22/1974,1250,Bryan A Walton
131,74,Production Technician ,9/30/1961,1191,Houman N Pournasseh
132,44,Scheduling Assistant,1/22/1978,1234,Sairaj L Uddin
133,173,Production Technician ,7/28/1972,1132,Michiko F Osada
134,184,Production Technician ,2/6/1976,1116,Benjamin R Martin
135,21,Production Supervisor ,9/19/1971,1057,Cynthia S Randall
136,197,Production Technician ,12/2/1980,1175,Kathie E Flood
137,16,Production Technician ,10/30/1979,1202,Britta L Simon
138,210,Production Technician ,3/14/1967,1143,Brian T Lloyd
139,140,Accounts Manager,8/8/1973,1245,David J Liu
140,109,Chief Financial Officer,2/6/1966,1288,Laura F Norman
141,38,Production Technician ,6/3/1964,1186,Michael W Patten
142,135,Production Technician ,11/20/1973,1127,Andy M Ruth
143,21,Production Supervisor ,5/8/1967,1229,Yuhong L Li
144,159,Production Technician ,4/1/1975,1170,Robert J Rounthwaite
145,41,Quality Assurance Technician,4/29/1979,1272,Andreas T Berglund
146,184,Production Technician ,2/9/1979,1111,Reed T Koch
147,143,Production Technician ,11/6/1967,1100,Linda A Randall
148,109,Vice President of Production,2/7/1973,1052,James R Hamilton
149,42,Application Specialist,4/14/1978,1261,Ramesh V Meyyappan
150,42,Network Manager,4/26/1974,1256,Stephanie A Conroy
151,108,Production Technician ,12/23/1977,1095,Samantha H Smith
152,210,Production Technician ,12/12/1979,1138,Tawana G Nusbaum
153,14,Production Technician ,8/7/1978,1197,Denise H Smith
154,30,Human Resources Administrative Assistant,5/19/1967,1240,Hao O Chen
155,123,Production Technician ,5/14/1980,1165,Alex M Nayberg
156,7,Production Technician ,3/13/1966,1224,Eugene O Kogan
157,16,Production Technician ,2/11/1967,1210,Brandon G Heidepriem
158,3,Research and Development Manager,3/27/1977,1049,Dylan A Miller
159,21,Production Supervisor ,6/24/1980,1063,Shane S Kim
160,182,Production Technician ,5/6/1976,1106,John Y Chen
161,90,Document Control Assistant,1/25/1966,1267,Karen R Berge
162,16,Production Technician ,9/1/1974,1208,Jose R Lugo
163,74,Production Technician ,4/21/1976,1188,Mandar H Samant
164,274,Buyer,9/18/1974,1047,Mikael Q Sandberg
165,74,Production Technician ,7/27/1968,1192,Sameer A Tejani
166,139,Accounts Payable Specialist,3/18/1967,1251,Dragan K Tomic
167,173,Production Technician ,11/18/1978,1133,Carol M Philips
168,87,Production Technician ,9/5/1963,1159,Rob T Caron
169,38,Production Technician ,7/14/1961,1176,Don L Hall
170,44,Scheduling Assistant,4/30/1974,1235,Alan J Brewer
171,184,Production Technician ,10/25/1975,1117,David Oliver Lawrence
172,87,Production Technician ,11/7/1980,1160,Baris F Cetinok
173,21,Production Supervisor ,3/2/1979,1058,Michael Sean Ray
174,18,Production Technician ,5/7/1981,1219,Steve F Masters
175,16,Production Technician ,7/11/1977,1203,Suchitra O Mohan
176,42,Application Specialist,6/19/1968,1262,Karen A Berg
177,143,Production Technician ,1/9/1975,1101,Terrence W Earls
178,139,Accountant,2/4/1966,1246,Barbara C Moreland
179,38,Production Technician ,9/4/1980,1187,Chad W Niswonger
180,135,Production Technician ,10/15/1967,1128,Rostislav E Shabalin
181,197,Production Technician ,10/19/1959,1171,Belinda M Newman
182,21,Production Supervisor ,12/20/1974,1230,Katie L McAskill-White
183,184,Production Technician ,3/14/1972,1112,Russell M King
184,21,Production Supervisor ,7/23/1973,1056,Jack S Richins
185,21,Production Supervisor ,10/8/1978,1053,Andrew R Hill
186,87,Production Technician ,5/10/1976,1155,Nicole B Holliday
187,14,Production Technician ,8/24/1961,1198,Frank T Miller
188,150,Network Administrator,6/29/1970,1257,Peter I Connelly
189,108,Production Technician ,10/6/1964,1096,Anibal T Sousa
190,210,Production Technician ,6/29/1971,1139,Ken L Myer
191,30,Human Resources Administrative Assistant,5/18/1966,1241,Grant N Culbertson
192,38,Production Technician ,7/17/1979,1182,Michael T Entin
193,159,Production Technician ,4/15/1978,1166,Lionel C Penuchot
194,7,Production Technician ,2/11/1976,1225,Thomas R Michaels
195,85,Stocker,6/5/1975,1284,Jimmy T Bischoff
196,135,Production Technician ,10/19/1972,1123,Michael T Vanderhyde
197,21,Production Supervisor ,8/19/1970,1064,Lori A Kane
198,274,Buyer,9/21/1964,1048,Arvind B Rao
199,182,Production Technician ,1/21/1966,1107,Stefen A Hesse
200,148,Quality Assurance Manager,11/27/1967,1268,Hazem E Abolrous
201,139,Accounts Payable Specialist,4/9/1969,1252,Janet L Sheperdigian
202,74,Production Technician ,2/26/1980,1193,Elizabeth I Keyser
203,6,Marketing Specialist,3/7/1976,1032,Terry J Eminhizer
204,184,Production Technician ,4/24/1972,1115,John N Frum
205,173,Production Technician ,6/13/1973,1134,Merav A Netz
206,44,Scheduling Assistant,9/12/1974,1236,Brian P LaMee
207,38,Production Technician ,7/7/1977,1177,Kitti H Lertpiriyasuwat
208,18,Production Technician ,3/14/1966,1220,Jay G Adams
209,184,Production Technician ,12/16/1964,1118,Jan S Miksovsky
210,21,Production Supervisor ,3/31/1973,1059,Brenda M Diaz
211,123,Production Technician ,10/26/1978,1161,Andrew M Cencini
212,90,Control Specialist,6/26/1977,1263,Chris K Norred
213,16,Production Technician ,9/7/1976,1204,Chris O Okelberry
214,143,Production Technician ,1/8/1977,1102,Shelley N Dyck
215,210,Production Technician ,6/11/1978,1145,Gabe B Mares
216,139,Accountant,8/1/1969,1247,Mike K Seamans
217,158,Research and Development Manager,1/1/1975,1289,Michael  Raheem
218,148,Facilities Manager,3/21/1961,1274,Gary E. Altman
219,18,Production Technician ,10/3/1961,1215,Charles B Fitzgerald
220,25,Production Technician ,10/23/1976,1081,Ebru N Ersan
221,108,Production Technician ,12/13/1960,1092,Sylvester A Valdez
222,51,Production Technician ,1/23/1961,1151,Brian Richard Goldstein
223,274,Buyer,12/31/1960,1044,Linda P Meisner
224,64,Production Technician ,1/17/1957,1087,Betsy A Stadick
225,218,Facilities Administrative Assistant,9/27/1961,1275,Magnus E Hedlund
226,18,Production Technician ,4/7/1960,1216,Karan R Khanna
227,25,Production Technician ,10/20/1976,1082,Mary R Baker
228,25,Production Technician ,10/20/1976,1078,Kevin M Homer
229,51,Production Technician ,4/9/1961,1152,Mihail U Frintu
230,185,Production Technician ,10/11/1976,1077,Bonnie N Kearney
231,274,Buyer,12/25/1960,1045,Fukiko J Ogisu
232,108,Production Technician ,11/23/1961,1088,Hung-Fu T Ting
233,274,Buyer,12/30/1956,1040,Gordon L Hee
234,64,Production Technician ,10/14/1976,1083,Kimberly B Zimmerman
235,16,Production Technician ,1/14/1957,1212,Kim B Abercrombie
236,51,Production Technician ,1/3/1961,1153,Sandeep P Kaliyath
237,108,Production Technician ,6/1/1943,1093,Prasanna E Samarawickrama
238,274,Buyer,6/13/1942,1046,Frank S Pellow
239,108,Production Technician ,10/11/1964,1089,Min G Su
240,51,Production Technician ,1/8/1957,1148,Eric L Brown
241,274,Buyer,10/19/1962,1042,Eric S Kurjan
242,49,Janitor,1/3/1961,1277,Pat H Coleman
243,18,Production Technician ,3/2/1945,1218,Maciej W Dusza
244,274,Buyer,2/4/1961,1041,Erin M Hagens
245,64,Production Technician ,10/11/1976,1084,Patrick C Wedge
246,51,Production Technician ,4/3/1942,1154,Frank R Martinez
247,16,Production Technician ,10/12/1961,1213,Ed R Dudenhoefer
248,25,Production Technician ,11/1/1976,1079,Christopher E Hill
249,51,Production Technician ,1/24/1964,1149,Patrick M Cook
250,108,Production Technician ,10/6/1961,1090,Krishna  Sunkammurali
251,49,Janitor,8/31/1960,1278,Lori K Penor
252,64,Production Technician ,10/8/1976,1085,Danielle C Tiedt
253,41,Quality Assurance Technician,1/5/1957,1273,Sootha T Charncherngkha
254,18,Production Technician ,10/7/1963,1214,Michael J Zwilling
255,18,Production Technician ,5/29/1960,1217,Randy T Reeves
256,25,Production Technician ,10/29/1976,1080,John T Kane
257,51,Production Technician ,9/30/1963,1150,Jack T Creasey
258,108,Production Technician ,5/5/1960,1091,Olinda C Turner
259,49,Janitor,1/17/1962,1276,Stuart J Macrae
260,49,Janitor,5/25/1944,1279,Jo L Berry
261,274,Buyer,7/5/1963,1043,Ben T Miller
262,64,Production Technician ,11/1/1976,1086,Tom M Vande Velde
263,3,Senior Tool Designer,2/18/1968,1007,Ovidiu V Cracium
264,274,Purchasing Assistant,3/1/1968,1038,Annette L Hill
265,263,Tool Designer,6/29/1979,1008,Janice M Galvin
266,274,Purchasing Assistant,2/18/1968,1039,Reinout N Hillmann
267,3,Senior Design Engineer,7/17/1969,1003,Michael I Sullivan
268,273,North American Sales Manager,11/17/1941,1011,Stephen Y Jiang
269,6,Marketing Assistant,4/17/1965,1029,Wanida M Benshoof
270,3,Design Engineer,6/3/1951,1004,Sharon B Salavaria
271,6,Marketing Specialist,4/6/1968,1036,John L Wood
272,6,Marketing Assistant,3/1/1968,1031,Mary A Dempsey
273,109,Vice President of Sales,7/8/1967,1010,Brian S Welcker
274,71,Purchasing Manager,3/13/1968,1037,Sheela H Word
275,268,Sales Representative,1/26/1959,1026,Michael G Blythe
276,268,Sales Representative,3/30/1970,1018,Linda C Mitchell
277,268,Sales Representative,9/29/1952,1016,Jillian  Carson
278,268,Sales Representative,3/7/1965,1021,Garrett R Vargas
279,268,Sales Representative,2/19/1964,1019,Tsvi Michael Reiter
280,268,Sales Representative,1/6/1965,1014,Pamela O Ansman-Wolfe
281,268,Sales Representative,4/10/1958,1017,Shu K Ito
282,268,Sales Representative,1/11/1954,1020,José Edvaldo Saraiva
283,268,Sales Representative,3/14/1964,1015,David R Campbell
284,273,European Sales Manager,10/22/1947,1013,Amy E Alberts
285,284,Sales Representative,4/18/1958,1025,Jae B Pak
286,284,Sales Representative,10/31/1965,1022,Ranjit R Varkey Chudukatil
287,268,Sales Representative,2/6/1968,1027,Tete A Mensa-Annan
288,273,Pacific Sales Manager,2/11/1965,1012,Syed E Abbas
289,284,Sales Representative,8/9/1965,1023,Rachel B Valdez
290,288,Sales Representative,4/18/1961,1024,Lynn N Tsoflias
